,ref_id,breed_id,type,website,created_at,updated_at,city,state,bwh,club,parent_club,specialty_club,licensed_club,bloodline,small_size,medium_size,large_size,breed_options,males,females,expected_date,birth,age,breed
107,257779,77,listing,/breeder/matthew-lawrence-63067/cocker-spaniel/257779,2021-03-23 17:22:31,2021-04-15 14:36:39,Everett,WA,,,0,0,0,0,0,1,0,,2,4,,2021-02-27,6 weeks old,cocker-spaniel
108,254992,260,listing,/breeder/trudy-miller-24770/yorkshire-terrier/254992,2021-02-26 16:48:17,2021-02-26 16:50:15,Everett,WA,,,0,0,0,1,1,0,0,,1,1,,2020-08-22,7 months old,yorkshire-terrier
109,13024,48,coming-soon,/breeder/janis-heil-77374/boxer/coming-soon,2019-05-15 12:09:08,2021-03-25 17:27:45,Everett,WA,,,0,0,0,0,0,1,0,,0,0,2021-05-05,,,boxer
110,51801,113,storefront,/breeder/EmeraldCityBlueFrenchies?source_breed=french-bulldog,2017-09-10 15:29:39,2020-12-31 19:52:57,Everett,WA,,,0,0,0,0,1,0,0,,0,0,,,,french-bulldog
111,8135,137,coming-soon,/breeder/larry-cronin-83814/irish-setter/coming-soon,2019-09-14 16:07:29,2020-10-02 22:59:48,Everett,WA,,,0,0,0,0,0,0,1,,0,0,2021-06-01,,,irish-setter
112,259145,193,listing,/breeder/lyudmila-biryuk-39890/pomeranian/259145,2021-04-05 15:30:04,2021-04-05 15:51:07,Edmonds,WA,,,0,0,0,1,1,0,0,,3,1,,2021-03-10,5 weeks old,pomeranian
113,251331,209,listing,/breeder/voncampostiny/rottweiler/251331,2021-01-24 22:29:24,2021-02-15 19:32:11,Everett,WA,,,0,0,0,0,0,0,1,,0,1,,2020-12-27,15 weeks old,rottweiler
114,94171,209,storefront,/breeder/haus-makjamz-rottweilers?source_breed=rottweiler,2020-04-09 13:24:21,2021-03-16 23:23:22,Everett,WA,,,0,0,0,0,0,0,1,,0,0,,,,rottweiler
115,53680,57,storefront,/breeder/sandhurstkennels?source_breed=bulldog,2017-10-29 19:17:49,2021-03-28 15:42:40,Kent,WA,,,0,0,0,0,0,1,0,,0,0,,,,bulldog
116,53680,117,storefront,/breeder/sandhurstkennels?source_breed=german-shepherd-dog,2017-10-29 19:17:49,2021-03-28 15:42:40,Kent,WA,,,0,0,0,0,0,0,1,,0,0,,,,german-shepherd-dog
117,88953,117,storefront,/breeder/lc-german-shepards?source_breed=german-shepherd-dog,2019-12-24 17:30:27,2021-03-23 19:38:43,Kent,WA,,,0,0,0,0,0,0,1,,0,0,,,,german-shepherd-dog
118,88953,142,storefront,/breeder/lc-german-shepards?source_breed=japanese-chin,2019-12-24 17:30:27,2021-03-23 19:38:43,Kent,WA,,,0,0,0,0,1,0,0,,0,0,,,,japanese-chin
119,252624,194,listing,/breeder/my-paddington-pups/poodle/252624,2021-02-04 22:12:31,2021-03-13 12:33:30,Snohomish,WA,,,0,0,0,0,1,0,1,standard,4,0,,2021-01-24,11 weeks old,poodle
120,47872,194,storefront,/breeder/christine-cobb-47872?source_breed=poodle,2017-06-15 19:02:30,2021-03-12 19:21:29,Snohomish,WA,,,0,0,0,0,1,0,1,,0,0,,,,poodle
121,252513,113,listing,/breeder/northwest-bulldogs/french-bulldog/252513,2021-02-04 04:38:32,2021-02-19 17:18:06,Auburn,WA,,,0,0,0,1,1,0,0,,1,0,,2021-01-06,14 weeks old,french-bulldog
122,258424,113,listing,/breeder/alison-bell-94895/french-bulldog/258424,2021-03-29 17:17:01,2021-04-13 18:20:33,Auburn,WA,,,0,0,0,0,1,0,0,,2,0,,2021-01-30,10 weeks old,french-bulldog
